id,optical_flow_mean,optical_flow_std,video_warmc,video_heavyl,video_activep,video_hards,video_darkProportion,video_lightPropertion,video_saturation,video_color_energy,video_color_std
1-1065435-000010-000020,0.002601496409624815,0.007655033841729164,-0.41023023548232473,2.697581161408322,1.4230780272389838,-1.5542533668409926,0.8855509830818474,0.052892089620484674,168.7996399176954,2.9602208857966,129564477.68064274
1-1065435-000227-000237,0.05610537528991699,0.13655512034893036,-0.4040349647251442,2.2769781664380435,1.6921161385833945,-2.3719219964563334,0.8544067215363511,0.011133973479652495,112.84266689529036,3.091136121397883,27045904.596489158
1-1732361-000001-000011,0.0015997765585780144,0.1376200020313263,-0.391822424034872,4.25557957175926,1.014821400640156,-0.621914388925059,0.47073423032407385,0.412111545138889,45.28340350115741,3.2150164873561775,48818050.892539255
1-1732361-000021-000031,0.02083931304514408,0.595594584941864,-0.35798928008007613,3.348709924768519,1.5430186057003137,-3.560017563883464,0.5021144386574073,0.3036537905092592,68.2515921585648,3.3329504422102207,84549868.36443006
1-188189-000039-000049,6.715612926200265e-06,0.0056569804437458515,-0.4190873433997965,1.912495348532495,1.7806604992613382,-2.3620592402876053,0.8327279874213835,0.024038259958071278,87.37393081761007,3.613554706973186,5374563.150259198
1-188189-000112-000122,0.0005946876481175423,0.07528255879878998,-0.3943148903495431,2.5191723663522017,1.9385080358390299,-3.304862497952699,0.535792714884696,0.13207154088050313,140.41140068134172,15.416884544790758,4362605.046408102
1-188189-000137-000147,0.149174302816391,0.31553852558135986,-0.3692761925809866,2.268067085953878,1.562015270468242,-3.219812895538522,0.669190251572327,0.08195099580712786,203.46227725366873,11.990874121968975,17336524.46046602
1-188189-000201-000211,0.00028008007211610675,0.07306190580129623,-0.36129138955307366,3.147391247379455,1.8369541255677315,-3.7759228536098006,0.6020230607966456,0.24780529350104827,195.50193003144653,23.36289728858937,10019354.84381156
1-2285643-000045-000055,0.10900448262691498,0.4924614429473877,-0.2619326428515476,1.8951483680555552,2.1547898750266667,-3.2073228315972226,0.3636013888888888,0.1576326388888889,72.26096875,4.174885687908058,58151252.70563986
1-2384563-000050-000100,0.025013884529471397,1.2908674478530884,-0.3690332160844705,2.477428349247685,1.6533185014799174,-2.8675615028663923,0.7617896412037034,0.11238425925925927,62.5679173900463,6.3873476726444975,10309125.2596713
1-2520183-000014-000024,0.03319273144006729,0.43873119354248047,-0.257805212436309,4.400168033050413,1.634862510229252,-4.676120795154964,0.17178594393004118,0.39654835390946513,79.97369405864198,2.579121191777473,138882529.27487925
1-2660693-000058-000108,1.8724069832387613e-06,0.013265322893857956,-0.4376429812664171,3.0535392795138887,1.4233575917213974,3.709860606101707,0.8183072916666668,0.06918113425925926,39.13764612268519,1.6867945588823383,29672633.812613163
1-294113-000000-000010,0.00010603262489894405,0.2306843400001526,-0.3664943171116171,2.731986625514403,1.6592705226778584,-1.4325835808899183,0.5995987654320988,0.10650205761316872,142.30979423868314,,2116997.47124332
1-294113-000011-000021,0.022132789716124535,0.4149201512336731,-0.3497276248181542,2.981093106995885,1.9271352238890112,-2.646601305298354,0.48717078189300417,0.11145061728395061,99.54048353909464,12.621399481391508,6741675.114251599
